id,Titolo ,Raccomandazioni (**) ,"Capital MLN € "
1,Stellantis,BUY,54843
3,Ferrari,HOLD,50814
4,Intesa Sanpaolo,,48131
,Ordinarie,BUY,48131
,Risparmio n.c.,-,
5,Eni,BUY,48049
6,STMicroelectr.,BUY,39495
7,UniCredit,,36345
,Ordinarie,BUY,36345
,Risparmio n.c.,-,
8,Generali,HOLD,29397
9,CNH Industrial,BUY,20932
10,Tenaris,BUY,18965
11,Moncler,BUY,16321
12,Snam,HOLD,15507
13,Terna,HOLD,14221
14,Poste Italiane,BUY,13125
15,Campari,BUY,12473
16,Inwit,BUY,9963
17,Nexi,BUY,9887
18,FinecoBank,BUY,9857
19,Prysmian,BUY,9758
20,Mediobanca,HOLD,8447
21,Recordati,HOLD,8219
22,UnipolSai (ex Fondiaria-Sai),,6818
,Ordinarie,HOLD,6818
,Risparmio n.c.,-,
,Risparmio,-,
23,Banca Mediolanum,SBUY,6807
24,Telecom Italia ( ex Olivetti ),,6521
,Ordinarie,BUY,4706
,Risparmio n.c.,-,1814
25,Amplifon,HOLD,6318
26,Leonardo,BUY,6202
27,Diasorin,HOLD,6173
28,Banco BPM,BUY,6166
29,Covivio,-,5698
30,Interpump,BUY,5667
31,B. Cucinelli,HOLD,5416
32,Pirelli & C.,BUY,4896
33,Brembo,HOLD,4715
34,A2A,BUY,4293
35,Reply,BUY,4284
36,Italgas,BUY,4284
37,Buzzi Unicem,,4246
,Ordinarie,BUY,4246
,Risparmio n.c.,-,
38,Erg,BUY,4052
39,B. Generali,HOLD,3793
40,Bper Banca,BUY,3758
41,Hera,BUY,3691
42,Unipol,,3605
,Ordinarie,BUY,3605
,Privilegiate,-,
43,De' Longhi,HOLD,3549
44,Azimut H.,BUY,3228
45,S. Ferragamo,HOLD,3099
46,Saipem,,3069
,Ordinarie,BUY,3069
,Risparmio,-,
47,Monte Paschi Si,HOLD,3038
48,BB Biotech,-,3003
49,Acea,SBUY,2950
50,Credem,BUY,2794
51,Autogrill,HOLD,2571
52,Carel Industries,BUY,2568
53,Iveco Group,BUY,2408
54,Enav,BUY,2248
55,Sol,BUY,2184
56,B.P. Sondrio,BUY,2174
57,Iren,BUY,2139
58,Sesa,BUY,1875
59,Danieli,,1788
,Risparmio n.c.,-,760
,Ordinarie,SBUY,1028
60,BFF Bank,BUY,1736
61,Webuild (Salini Impregilo),,1716
,Ordinarie,HOLD,1716
,Risparmio n.c.,-,
62,Technogym,HOLD,1684
63,Alerion Cleanpwr,SBUY,1643
64,Zignago Vetro,BUY,1571
65,Rai Way,BUY,1496
66,Sanlorenzo,SBUY,1480
67,Piaggio,BUY,1458
68,Anima Holding,BUY,1426
69,Tamburi Inv.,SBUY,1416
70,Saras,BUY,1414
71,Mediaforeurope (ex Mediaset),,1403
,Ordinarie,HOLD,784
,Ordinarie,-,620
73,Intercos,BUY,1325
74,Cementir Hldg.,BUY,1306
75,Maire Tecnimont,BUY,1287
76,El.En,BUY,1253
77,Ariston Holding,BUY,1210
78,Tod's,HOLD,1190
79,MutuiOnline,BUY,1142
80,Tinexta,BUY,1120
81,Salcef Group,SBUY,1104
82,Italmobiliare,,1040
,Ordinarie,SBUY,1040
,Risparmio n.c.,-,
83,Fincantieri,HOLD,1028
84,GVS,BUY,848
85,B. Ifis,BUY,843
86,Edison r nc,-,155
86,Industrie De Nora,BUY,836
